PROJECT_ID,BUG_ID,FRAME,SLOC,MAX_FRAME,BOTSING_SUCCESSFUL,GZOLTAR_SUCCESSFUL,DEFECTIVE_STATEMENT,GREEN_TEST_CASES,RED_TEST_CASES_HUMAN,RED_TEST_CASES_BOTSING,EXAM_HUMAN,EXAM_BOTSING,EXAM_HUMAN-BOTSING,SL_HUMAN,SL_BOTSING,SL_HUMAN-BOTSING,CATEGORY,DESCRIPTION
Math,1,2,3966,2,Y,Y,org.apache.commons.math3.fraction$Fraction:215 org.apache.commons.math3.fraction$BigFraction:306,311,2,1,9,7,7,0.5,0.70710678118655,0.66666666666667,FAILS_AFTER_FIX,"Test case will lead you to the crash, however the input given should always result in this exception. However the bug is that 0.500000000001 should be ½"
Math,4,1,5420,3,Y,Y,org.apache.commons.math3.geometry.euclidean.threed$SubLine:113 org.apache.commons.math3.geometry.euclidean.twod$SubLine:116,50,2,1,6,0,19,0.26726124191242,0,0.21821789023599,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered.
Math,4,2,5420,3,Y,Y,org.apache.commons.math3.geometry.euclidean.threed$SubLine:113 org.apache.commons.math3.geometry.euclidean.twod$SubLine:116,50,2,1,6,0,17,0.26726124191242,0,0.21821789023599,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered.
Math,4,3,5420,3,Y,Y,org.apache.commons.math3.geometry.euclidean.threed$SubLine:113 org.apache.commons.math3.geometry.euclidean.twod$SubLine:116,50,2,1,6,8,7,0.26726124191242,0.37796447300923,0.40824829046386,INFERIOR,Generated test case exposes the bug perfectly. The bug is caused when trying to intersect two parallel lines. The difference in performance is caused by the way in which the line segments are created.
Math,8,1,2028,1,N,N,org.apache.commons.math3.distribution$DiscreteDistribution:181 org.apache.commons.math3.distribution$DiscreteDistribution:187,,,,,,,,,,OTHER,
Math,31,2,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,31,3,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,31,4,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,31,5,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,31,6,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,31,7,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,31,8,11386,8,N,N,org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189,,,,,,,,,,OTHER,
Math,32,1,6766,10,Y,Y,org.apache.commons.math3.geometry.euclidean.twod$PolygonsSet:136,22,1,1,2,1,1,1,1,1,FAILS_AFTER_FIX,"The roots of the problem are deeper in the program, accourding the issue tracker. Therefore, this might also be a bug."
Math,32,2,6766,10,Y,Y,org.apache.commons.math3.geometry.euclidean.twod$PolygonsSet:136,22,1,1,2,1,1,1,1,1,FAILS_AFTER_FIX,"The roots of the problem are deeper in the program, accourding the issue tracker. Therefore, this might also be a bug."
Math,38,5,8735,6,Y,Y,org.apache.commons.math.optimization.direct$BOBYQAOptimizer:1660 org.apache.commons.math.optimization.direct$BOBYQAOptimizer:1662 org.apache.commons.math.optimization.direct$BOBYQAOptimizer:1663 org.apache.commons.math.optimization.direct$BOBYQAOptimizer:1752,18,1,1,1,2,1,1,1,1,FAILS_AFTER_FIX,"Complex problem, Botsing test cases still fails in fixed version"
Math,38,6,8735,6,Y,Y,org.apache.commons.math.optimization.direct$BOBYQAOptimizer:1660 org.apache.commons.math.optimization.direct$BOBYQAOptimizer:1662 org.apache.commons.math.optimization.direct$BOBYQAOptimizer:1663 org.apache.commons.math.optimization.direct$BOBYQAOptimizer:1752,18,1,1,1,2,1,1,1,1,FAILS_AFTER_FIX,"Complex problem, Botsing test cases still fails in fixed version"
Math,40,2,3340,5,Y,Y,org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver:235 org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver:238,89,1,1,21,0,40,0.24253562503633,0,0.17149858514251,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered
Math,40,3,3340,5,Y,Y,org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver:235 org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver:238,89,1,1,21,20,19,0.24253562503633,0.24253562503633,0.33333333333333,FAILS_AFTER_FIX,"Complex problem, Botsing test cases still fails in fixed version"
Math,40,4,3340,5,Y,Y,org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver:235 org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver:238,89,1,1,21,0,50,0.24253562503633,0,0.17149858514251,NO_DEFECTIVE_STATEMENT,"Defective frame is covered, only the defective statement(s) are not executed"
Math,40,5,3340,5,Y,Y,org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver:235 org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver:238,89,1,1,21,0,52,0.24253562503633,0,0.17149858514251,NO_DEFECTIVE_STATEMENT,"Defective frame is covered, only the defective statement(s) are not executed"
Math,49,2,5082,4,N,N,org.apache.commons.math.linear$OpenMapRealVector:345 org.apache.commons.math.linear$OpenMapRealVector:358 org.apache.commons.math.linear$OpenMapRealVector:370 org.apache.commons.math.linear$OpenMapRealVector:383,,,,,,,,,,OTHER,
Math,49,3,5082,4,Y,Y,org.apache.commons.math.linear$OpenMapRealVector:345 org.apache.commons.math.linear$OpenMapRealVector:358 org.apache.commons.math.linear$OpenMapRealVector:370 org.apache.commons.math.linear$OpenMapRealVector:383,34,1,1,8,7,7,0.70710678118655,0.70710678118655,0.81649658092773,EQUIVALENT,"Generated test case exposes the bug perfectly, its has a lower rank of the way the two arrays are generated"
Math,51,3,4364,7,Y,Y,org.apache.commons.math.analysis.solvers$BaseSecantSolver:178 org.apache.commons.math.analysis.solvers$BaseSecantSolver:187,35,1,1,22,29,27,0.21320071635561,0.21320071635561,0.29488391230979,FAILS_AFTER_FIX,Botsing test cases still fails in fixed version. The generated test case uses the wrong solver.
Math,51,4,4364,7,N,N,org.apache.commons.math.analysis.solvers$BaseSecantSolver:185 org.apache.commons.math.analysis.solvers$BaseSecantSolver:187 org.apache.commons.math.analysis.solvers$BaseSecantSolver:189,,,,,,,,,,OTHER,
Math,51,5,4364,7,Y,Y,org.apache.commons.math.analysis.solvers$BaseSecantSolver:178 org.apache.commons.math.analysis.solvers$BaseSecantSolver:187,35,1,1,22,27,27,0.21320071635561,0.21320071635561,0.29488391230979,FAILS_AFTER_FIX,Botsing test cases still fails in fixed version. The generated test case uses the wrong solver.
Math,51,6,4364,7,Y,Y,org.apache.commons.math.analysis.solvers$BaseSecantSolver:178 org.apache.commons.math.analysis.solvers$BaseSecantSolver:187,35,1,1,22,25,23,0.21320071635561,0.21320071635561,0.29488391230979,FAILS_AFTER_FIX,Botsing test cases still fails in fixed version. The generated test case uses the wrong solver.
Math,51,7,4364,7,N,N,org.apache.commons.math.analysis.solvers$BaseSecantSolver:185 org.apache.commons.math.analysis.solvers$BaseSecantSolver:187 org.apache.commons.math.analysis.solvers$BaseSecantSolver:189,,,,,,,,,,OTHER,
Math,58,1,4241,12,Y,Y,org.apache.commons.math.optimization.fitting$GaussianFitter:121,7,1,1,24,0,27,0.40824829046386,0,0.28867513459481,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered
Math,58,2,4241,12,Y,Y,org.apache.commons.math.optimization.fitting$GaussianFitter:121,7,1,1,24,0,44,0.40824829046386,0,0.28867513459481,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered
Math,61,2,3691,3,Y,Y,org.apache.commons.math.distribution$PoissonDistributionImpl:22 org.apache.commons.math.distribution$PoissonDistributionImpl:94,11,1,1,1,1,1,1,1,1,EQUIVALENT,Test cases fails after fix.
Math,61,3,3691,3,Y,Y,org.apache.commons.math.distribution$PoissonDistributionImpl:22 org.apache.commons.math.distribution$PoissonDistributionImpl:94,11,1,1,1,1,1,1,1,1,EQUIVALENT,Test cases fails after fix.
